transaction_id,branch_id,branch_location,date,time,customer_id,item_id,item_name,category,quantity,price,discount,total_amount,payment_method,customer_feedback
T001,A004,Houston,2024-09-01,11:00:00,C001,I001,T-shirt,Electronics,9,9,9,72,Cash,No feedback
T002,A005,Houston,2024-09-02,12:00:00,C002,I002,Headphones,Electronics,9,9,9,72,Cash,Satisfactory
T003,A003,Houston,2024-09-03,11:30:00,C003,I003,Laptop,Electronics,2,2,2,2,Cash,Quick service
T004,A005,Miami,2024-09-04,13:30:00,C004,I004,T-shirt,Accessories,7,7,7,42,Credit Card,Great product
T005,A005,Chicago,2024-09-05,08:30:00,C005,I005,Headphones,Electronics,3,3,3,6,Credit Card,Satisfactory
T006,A002,New York,2024-09-06,08:00:00,C006,I006,Watch,Apparel,7,7,7,42,Credit Card,Good quality
T007,A003,Houston,2024-09-07,15:30:00,C007,I007,Watch,Apparel,9,9,9,72,Credit Card,Satisfactory
T008,A003,Los Angeles,2024-09-08,19:00:00,C008,I008,Watch,Apparel,4,4,4,12,Credit Card,Satisfactory
T009,A003,Houston,2024-09-09,19:00:00,C009,I009,Watch,Accessories,1,1,1,0,Digital Wallet,Quick service
T010,A005,Los Angeles,2024-09-10,19:30:00,C010,I010,Watch,Electronics,2,2,2,2,Digital Wallet,Good quality
T011,A004,Los Angeles,2024-09-11,10:00:00,C011,I011,Headphones,Electronics,1,1,1,0,Credit Card,Satisfactory
T012,A003,Houston,2024-09-12,09:00:00,C012,I012,Headphones,Electronics,5,5,5,20,Cash,Great product
T013,A005,Miami,2024-09-13,13:30:00,C013,I013,Shoes,Accessories,5,5,5,20,Credit Card,Great product
T014,A002,Los Angeles,2024-09-14,11:30:00,C014,I014,Smartphone,Apparel,7,7,7,42,Digital Wallet,No feedback
T015,A004,Los Angeles,2024-09-15,18:30:00,C015,I015,Watch,Apparel,9,9,9,72,Digital Wallet,Good quality
T016,A002,Houston,2024-09-16,09:00:00,C016,I016,Laptop,Electronics,9,9,9,72,Cash,Good quality
T017,A004,Los Angeles,2024-09-17,08:00:00,C017,I017,Headphones,Apparel,3,3,3,6,Digital Wallet,No feedback
T018,A005,Los Angeles,2024-09-18,09:00:00,C018,I018,Laptop,Apparel,3,3,3,6,Credit Card,Satisfactory
T019,A001,Houston,2024-09-19,10:00:00,C019,I019,Laptop,Accessories,3,3,3,6,Cash,Good quality
T020,A004,Houston,2024-09-20,15:00:00,C020,I020,Laptop,Accessories,4,4,4,12,Credit Card,Great product
T021,A002,New York,2024-09-21,14:30:00,C021,I021,Shoes,Accessories,8,8,8,56,Credit Card,Great product
T022,A005,Miami,2024-09-22,09:00:00,C022,I022,Headphones,Accessories,6,6,6,30,Cash,Quick service
T023,A004,Miami,2024-09-23,08:00:00,C023,I023,Laptop,Electronics,8,8,8,56,Credit Card,Good quality
T024,A001,Los Angeles,2024-09-24,10:00:00,C024,I024,Watch,Accessories,1,1,1,0,Digital Wallet,Satisfactory
T025,A001,Miami,2024-09-25,19:00:00,C025,I025,T-shirt,Apparel,8,8,8,56,Credit Card,No feedback
T026,A003,Los Angeles,2024-09-26,14:30:00,C026,I026,Laptop,Electronics,4,4,4,12,Cash,No feedback
T027,A003,New York,2024-09-27,11:00:00,C027,I027,Shoes,Apparel,1,1,1,0,Cash,Satisfactory
T028,A002,Houston,2024-09-28,12:00:00,C028,I028,Headphones,Apparel,8,8,8,56,Cash,Quick service
T029,A004,Houston,2024-09-29,15:00:00,C029,I029,Shoes,Apparel,4,4,4,12,Credit Card,No feedback
T030,A004,Houston,2024-09-30,15:00:00,C030,I030,Laptop,Accessories,6,6,6,30,Cash,Good quality
T031,A003,Miami,2024-10-01,12:30:00,C031,I031,Headphones,Accessories,8,8,8,56,Cash,Quick service
T032,A004,New York,2024-10-02,14:00:00,C032,I032,T-shirt,Electronics,4,4,4,12,Credit Card,Good quality
T033,A004,Miami,2024-10-03,17:00:00,C033,I033,Laptop,Electronics,3,3,3,6,Digital Wallet,Great product
T034,A001,Miami,2024-10-04,11:00:00,C034,I034,Shoes,Accessories,9,9,9,72,Credit Card,Quick service
T035,A003,New York,2024-10-05,16:00:00,C035,I035,Smartphone,Apparel,3,3,3,6,Cash,No feedback
T036,A005,New York,2024-10-06,17:30:00,C036,I036,Watch,Electronics,9,9,9,72,Cash,Quick service
T037,A003,New York,2024-10-07,09:30:00,C037,I037,Shoes,Accessories,2,2,2,2,Credit Card,Quick service
T038,A005,New York,2024-10-08,10:00:00,C038,I038,Headphones,Accessories,2,2,2,2,Digital Wallet,Quick service
T039,A001,Houston,2024-10-09,19:00:00,C039,I039,Laptop,Accessories,2,2,2,2,Cash,Quick service
T040,A002,Chicago,2024-10-10,11:00:00,C040,I040,Watch,Apparel,6,6,6,30,Cash,Good quality
T041,A004,Chicago,2024-10-11,14:00:00,C041,I041,Laptop,Accessories,3,3,3,6,Cash,Great product
T042,A001,New York,2024-10-12,15:00:00,C042,I042,Headphones,Accessories,9,9,9,72,Credit Card,Satisfactory
T043,A004,Chicago,2024-10-13,13:00:00,C043,I043,Laptop,Accessories,4,4,4,12,Cash,Quick service
T044,A002,Chicago,2024-10-14,09:30:00,C044,I044,Smartphone,Accessories,1,1,1,0,Digital Wallet,No feedback
T045,A002,New York,2024-10-15,14:00:00,C045,I045,Watch,Electronics,4,4,4,12,Cash,Quick service
T046,A001,Chicago,2024-10-16,11:00:00,C046,I046,Watch,Electronics,1,1,1,0,Cash,No feedback
T047,A002,Miami,2024-10-17,17:00:00,C047,I047,Headphones,Accessories,5,5,5,20,Digital Wallet,Good quality
T048,A005,Los Angeles,2024-10-18,18:30:00,C048,I048,Smartphone,Apparel,4,4,4,12,Cash,No feedback
T049,A002,Los Angeles,2024-10-19,08:30:00,C049,I049,Shoes,Electronics,8,8,8,56,Credit Card,Satisfactory
T050,A004,New York,2024-10-20,12:30:00,C050,I050,Laptop,Accessories,8,8,8,56,Credit Card,Great product
